mes,numero,dia_semana,dia_num,nombre_cliente,apellido_cliente,agencia,tipo_pasapalo,cantidad,costo_unitario,precio_por_pasapalo,total_a_pagar,ubicacion_agencia,mantenimiento_agencia
enero,8182,lunes,16,Juan,Torres,la concordia,0,66,1.25,3.24,213.84,cucuta,735
enero,6136,jueves,3,Andrea,Soto,la concordia,5,58,1.23,1.96,113.68,san cristobal,735
enero,1161,jueves,17,Isabella,Perez,las palmas,6,92,0.65,4.25,391.0,valencia,573
febrero,7305,miercoles,4,Miguel,Garcia,las palmas,4,85,1.8,4.88,414.8,valencia,634
enero,1757,miercoles,20,Miguel,Martinez,las palmas,1,89,0.87,4.34,386.26,caracas,573
enero,4521,viernes,20,Isabella,Sanchez,las palmas,3,45,1.69,4.74,213.3,valencia,573
marzo,6333,domingo,20,Isabella,Garcia,las palmas,2,59,0.83,3.38,199.42,valencia,614
febrero,8517,viernes,12,Mia,Soto,las palmas,2,27,0.83,3.38,91.26,caracas,634
febrero,1244,viernes,18,Valentina,Garcia,las palmas,4,99,1.8,4.88,483.12,cucuta,634
enero,1645,jueves,30,Juan,Garcia,las palmas,7,77,0.52,4.78,368.06,cucuta,573
febrero,1212,jueves,4,Miguel,Rodriguez,las palmas,2,69,0.83,3.38,233.22,caracas,634
febrero,6025,lunes,18,Samantha,Garcia,las palmas,2,36,0.83,3.38,121.68,san cristobal,634
enero,7328,domingo,10,Juan,Soto,las palmas,7,33,0.52,4.78,157.74,cucuta,573
marzo,3635,martes,30,Juan,Martinez,las palmas,1,40,0.87,4.34,173.6,valencia,614
enero,1378,domingo,1,Andrea,Rodriguez,las palmas,2,62,0.83,3.38,209.56,cucuta,573
febrero,6333,viernes,2,Isabella,Garcia,las palmas,1,70,0.87,4.34,303.8,caracas,634
marzo,8377,miercoles,4,Mia,Jimenez,las palmas,4,39,1.8,4.88,190.32,san cristobal,614
febrero,1125,sabado,17,Samantha,Sanchez,las palmas,7,35,0.52,4.78,167.3,san cristobal,634
enero,2608,jueves,24,Valentina,Gonzalez,las palmas,3,97,1.69,4.74,459.78,valencia,573
marzo,1067,viernes,16,Lucas,Garcia,las palmas,3,53,1.69,4.74,251.22,cucuta,614
marzo,8472,sabado,9,Andrea,Torres,las palmas,4,2,1.8,4.88,9.76,valencia,614
febrero,8452,sabado,16,Mia,Torres,las palmas,0,15,1.25,3.24,48.6,san cristobal,634
febrero,6630,jueves,4,Mia,Martinez,las palmas,2,71,0.83,3.38,239.98,caracas,634
enero,1645,lunes,9,Juan,Garcia,las palmas,3,42,1.69,4.74,199.08,san cristobal,573
febrero,7522,martes,15,Samantha,Soto,las palmas,1,44,0.87,4.34,190.96,caracas,634
marzo,8472,jueves,5,Andrea,Torres,las palmas,2,41,0.83,3.38,138.58,san cristobal,614
febrero,2678,viernes,1,Andrea,Sanchez,las palmas,7,52,0.52,4.78,248.56,valencia,634
febrero,4712,martes,22,Pedro,Gonzalez,las palmas,2,39,0.83,3.38,131.82,san cristobal,634
enero,6843,domingo,7,Andrea,Lopez,las palmas,3,53,1.69,4.74,251.22,valencia,573
enero,7305,lunes,9,Miguel,Garcia,las palmas,5,5,1.23,1.96,9.8,caracas,573
febrero,6047,martes,25,Valentina,Perez,las palmas,6,85,0.65,4.25,361.25,cucuta,634
febrero,8376,martes,19,Samantha,Gonzalez,las palmas,7,58,0.52,4.78,277.24,san cristobal,634
febrero,7805,sabado,21,Valentina,Soto,las palmas,6,79,0.65,4.25,335.75,caracas,634
febrero,1788,sabado,19,Miguel,Torres,las palmas,2,25,0.83,3.38,84.5,valencia,634
enero,6025,jueves,22,Samantha,Garcia,las palmas,5,63,1.23,1.96,123.48,caracas,573
marzo,1886,lunes,13,Juan,Lopez,las palmas,6,63,0.65,4.25,267.75,cucuta,614
febrero,1757,martes,20,Miguel,Martinez,las palmas,7,94,0.52,4.78,449.32,san cristobal,634
enero,2678,domingo,20,Andrea,Sanchez,las palmas,0,57,1.25,3.24,184.68,caracas,573
marzo,5496,domingo,3,Juan,Perez,las palmas,1,14,0.87,4.34,60.76,san cristobal,614
febrero,7618,lunes,3,Pedro,Soto,las palmas,2,7,0.83,3.38,23.66,valencia,634
marzo,7211,martes,1,Sofía,Torres,las palmas,1,15,0.87,4.34,65.1,san cristobal,614
febrero,1656,miercoles,20,Andrea,Perez,las palmas,7,81,0.52,4.78,387.18,valencia,634
enero,1886,sabado,5,Juan,Lopez,las palmas,6,21,0.65,4.25,89.25,san cristobal,573
febrero,7242,lunes,7,Lucas,Jimenez,las palmas,1,16,0.87,4.34,69.44,cucuta,634
enero,9632,lunes,27,Isabella,Soto,las palmas,0,86,1.25,3.24,278.64,valencia,573
enero,7118,viernes,9,Pedro,Perez,las palmas,5,80,1.23,1.96,156.8,valencia,573
marzo,4053,martes,3,Isabella,Martinez,las palmas,0,4,1.25,3.24,12.96,cucuta,614
enero,8472,viernes,20,Andrea,Torres,las palmas,6,93,0.65,4.25,395.25,san cristobal,573
febrero,7522,jueves,3,Samantha,Soto,las palmas,6,99,0.65,4.25,420.75,caracas,634
marzo,9178,viernes,1,Isabella,Lopez,las palmas,1,5,0.87,4.34,21.7,valencia,614
enero,9771,viernes,13,Valentina,Martinez,las palmas,0,73,1.25,3.24,236.52,san cristobal,573
enero,7171,lunes,27,Sofía,Martinez,las palmas,5,94,1.23,1.96,184.24,valencia,573
marzo,5774,martes,10,Mia,Rodriguez,el paraiso,0,75,1.25,3.24,243.0,valencia,784
febrero,1788,domingo,13,Miguel,Torres,el paraiso,6,34,0.65,4.25,144.5,cucuta,686
enero,6715,miercoles,24,Lucas,Perez,el paraiso,4,20,1.8,4.88,97.6,valencia,734
marzo,6333,miercoles,14,Isabella,Garcia,el paraiso,2,12,0.83,3.38,40.56,caracas,784
enero,8343,sabado,6,Lucas,Rodriguez,el paraiso,2,37,0.83,3.38,125.06,san cristobal,734
marzo,8083,martes,3,Samantha,Rodriguez,el paraiso,6,61,0.65,4.25,259.25,valencia,784
marzo,6136,jueves,3,Andrea,Soto,el paraiso,7,20,0.52,4.78,95.6,valencia,784
enero,1788,sabado,23,Miguel,Torres,el paraiso,7,2,0.52,4.78,9.56,san cristobal,734
marzo,1125,viernes,15,Samantha,Sanchez,el paraiso,2,3,0.83,3.38,10.14,san cristobal,784
enero,7171,miercoles,18,Sofía,Martinez,el paraiso,4,50,1.8,4.88,244.0,valencia,734
marzo,8247,martes,15,Sofía,Gonzalez,el paraiso,5,87,1.23,1.96,170.52,san cristobal,784
enero,6715,sabado,1,Lucas,Perez,el paraiso,3,15,1.69,4.74,71.1,cucuta,734
marzo,1645,viernes,30,Juan,Garcia,el paraiso,0,45,1.25,3.24,145.8,san cristobal,784
febrero,2011,sabado,23,Miguel,Sanchez,el paraiso,7,59,0.52,4.78,282.02,valencia,686
enero,2519,martes,5,Mia,Perez,el paraiso,7,4,0.52,4.78,19.12,san cristobal,734
febrero,9728,lunes,2,Juan,Jimenez,el paraiso,7,12,0.52,4.78,57.36,caracas,686
enero,7067,sabado,22,Pedro,Torres,el paraiso,6,13,0.65,4.25,55.25,cucuta,734
enero,4235,jueves,16,Mia,Lopez,el paraiso,4,73,1.8,4.88,356.24,valencia,734
enero,8326,domingo,30,Sofía,Garcia,el paraiso,1,42,0.87,4.34,182.28,valencia,734
enero,8697,miercoles,10,Sofía,Lopez,el paraiso,5,2,1.23,1.96,3.92,cucuta,734
febrero,2743,miercoles,26,Miguel,Perez,el paraiso,4,93,1.8,4.88,453.84,valencia,686
febrero,5815,sabado,16,Lucas,Soto,el paraiso,4,55,1.8,4.88,268.4,cucuta,686
marzo,7401,domingo,8,Lucas,Sanchez,el paraiso,6,88,0.65,4.25,374.0,cucuta,784
febrero,8718,martes,23,Pedro,Jimenez,el paraiso,5,49,1.23,1.96,96.04,san cristobal,686
febrero,6270,jueves,17,Sofía,Sanchez,el paraiso,4,78,1.8,4.88,380.64,cucuta,686
enero,7328,miercoles,25,Juan,Soto,el paraiso,6,3,0.65,4.25,12.75,caracas,734
enero,7242,martes,29,Lucas,Jimenez,el paraiso,3,19,1.69,4.74,90.06,caracas,734
marzo,2650,lunes,21,Andrea,Jimenez,el paraiso,0,51,1.25,3.24,165.24,san cristobal,784
marzo,4516,viernes,25,Samantha,Lopez,el paraiso,6,30,0.65,4.25,127.5,san cristobal,784
febrero,1928,domingo,4,Lucas,Gonzalez,el paraiso,4,69,1.8,4.88,336.72,valencia,686
febrero,7118,martes,14,Pedro,Perez,el paraiso,4,23,1.8,4.88,112.24,valencia,686
enero,1125,viernes,6,Samantha,Sanchez,el paraiso,3,94,1.69,4.74,445.56,caracas,734
marzo,6023,miercoles,30,Lucas,Martinez,el paraiso,1,36,0.87,4.34,156.24,cucuta,784
febrero,3633,miercoles,8,Pedro,Rodriguez,el paraiso,7,55,0.52,4.78,262.9,san cristobal,686
enero,7751,lunes,21,Mia,Garcia,el paraiso,3,67,1.69,4.74,317.58,cucuta,734
febrero,1656,jueves,2,Andrea,Perez,el paraiso,7,77,0.52,4.78,368.06,cucuta,686
enero,4574,jueves,25,Sofía,Perez,el paraiso,4,67,1.8,4.88,326.96,cucuta,734
enero,1879,domingo,10,Pedro,Garcia,el paraiso,6,60,0.65,4.25,255.0,caracas,734
enero,2519,jueves,9,Mia,Perez,el paraiso,4,33,1.8,4.88,161.04,cucuta,734
febrero,7522,viernes,10,Samantha,Soto,el paraiso,0,31,1.25,3.24,100.44,san cristobal,686
febrero,8182,miercoles,15,Juan,Torres,el paraiso,7,2,0.52,4.78,9.56,caracas,686
marzo,6333,jueves,28,Isabella,Garcia,el paraiso,6,49,0.65,4.25,208.25,cucuta,784
febrero,1735,lunes,19,Miguel,Soto,el paraiso,0,4,1.25,3.24,12.96,caracas,686
marzo,8452,domingo,12,Mia,Torres,el paraiso,5,96,1.23,1.96,188.16,caracas,784
enero,8718,viernes,10,Pedro,Jimenez,el paraiso,1,76,0.87,4.34,329.84,caracas,734
marzo,4516,jueves,12,Samantha,Lopez,el paraiso,0,90,1.25,3.24,291.6,valencia,784
febrero,8376,viernes,10,Samantha,Gonzalez,el paraiso,4,43,1.8,4.88,209.84,caracas,686
marzo,8472,viernes,29,Andrea,Torres,el paraiso,6,59,0.65,4.25,250.75,san cristobal,784
febrero,1876,martes,26,Lucas,Lopez,el paraiso,7,63,0.52,4.78,301.14,cucuta,686
enero,8182,domingo,11,Juan,Torres,el paraiso,3,87,1.69,4.74,412.38,caracas,734
febrero,7819,lunes,17,Mia,Sanchez,el sol,5,50,1.23,1.96,98.0,caracas,504
enero,8377,sabado,29,Mia,Jimenez,el sol,6,43,0.65,4.25,182.75,san cristobal,652
marzo,4053,viernes,4,Isabella,Martinez,el sol,4,62,1.8,4.88,302.56,cucuta,616
febrero,8343,jueves,11,Lucas,Rodriguez,el sol,5,97,1.23,1.96,190.12,valencia,504
febrero,8182,viernes,2,Juan,Torres,el sol,3,97,1.69,4.74,459.78,valencia,504
enero,1589,martes,14,Andrea,Martinez,el sol,6,3,0.65,4.25,12.75,cucuta,652
enero,4516,martes,5,Samantha,Lopez,el sol,4,47,1.8,4.88,229.36,san cristobal,652
febrero,1879,viernes,16,Pedro,Garcia,el sol,0,82,1.25,3.24,265.68,san cristobal,504
febrero,4179,martes,18,Valentina,Jimenez,el sol,1,95,0.87,4.34,412.3,valencia,504
enero,6025,miercoles,10,Samantha,Garcia,el sol,3,65,1.69,4.74,308.1,cucuta,652
marzo,7167,miercoles,21,Isabella,Gonzalez,el sol,0,30,1.25,3.24,97.2,caracas,616
enero,1125,lunes,6,Samantha,Sanchez,el sol,7,63,0.52,4.78,301.14,caracas,652
enero,3633,jueves,2,Pedro,Rodriguez,el sol,3,99,1.69,4.74,469.26,san cristobal,652
febrero,6737,sabado,10,Miguel,Lopez,el sol,3,48,1.69,4.74,227.52,valencia,504
marzo,5815,lunes,1,Lucas,Soto,el sol,2,39,0.83,3.38,131.82,caracas,616
marzo,6715,viernes,20,Lucas,Perez,el sol,2,96,0.83,3.38,324.48,caracas,616
marzo,6047,miercoles,16,Valentina,Perez,el sol,6,92,0.65,4.25,391.0,caracas,616
enero,6630,lunes,11,Mia,Martinez,el sol,1,12,0.87,4.34,52.08,san cristobal,652
enero,8240,martes,8,Juan,Gonzalez,el sol,0,48,1.25,3.24,155.52,caracas,652
febrero,6136,sabado,11,Andrea,Soto,el sol,3,15,1.69,4.74,71.1,caracas,504
marzo,4521,sabado,12,Isabella,Sanchez,el sol,3,74,1.69,4.74,350.76,cucuta,616
enero,9499,jueves,16,Isabella,Rodriguez,el sol,7,96,0.52,4.78,458.88,caracas,652
enero,5496,lunes,9,Juan,Perez,el sol,1,27,0.87,4.34,117.18,valencia,652
enero,8472,sabado,14,Andrea,Torres,el sol,1,35,0.87,4.34,151.9,valencia,652
febrero,9184,sabado,1,Isabella,Torres,el sol,0,82,1.25,3.24,265.68,san cristobal,504
enero,3633,martes,16,Pedro,Rodriguez,el sol,0,44,1.25,3.24,142.56,san cristobal,652
marzo,2608,martes,24,Valentina,Gonzalez,el sol,5,12,1.23,1.96,23.52,san cristobal,616
marzo,3633,miercoles,6,Pedro,Rodriguez,el sol,0,69,1.25,3.24,223.56,valencia,616
enero,9632,martes,17,Isabella,Soto,el sol,7,82,0.52,4.78,391.96,san cristobal,652
febrero,6091,domingo,24,Samantha,Jimenez,el sol,5,35,1.23,1.96,68.6,san cristobal,504
febrero,1378,martes,24,Andrea,Rodriguez,el sol,1,63,0.87,4.34,273.42,valencia,504
enero,8343,jueves,10,Lucas,Rodriguez,el sol,4,77,1.8,4.88,375.76,valencia,652
febrero,5774,sabado,17,Mia,Rodriguez,el sol,6,22,0.65,4.25,93.5,cucuta,504
febrero,9184,viernes,8,Isabella,Torres,el sol,6,9,0.65,4.25,38.25,caracas,504
febrero,4235,sabado,11,Mia,Lopez,el sol,5,85,1.23,1.96,166.6,valencia,504
marzo,8240,lunes,15,Juan,Gonzalez,el sol,0,82,1.25,3.24,265.68,caracas,616
febrero,7955,martes,28,Pedro,Sanchez,el sol,0,56,1.25,3.24,181.44,san cristobal,504
enero,7328,miercoles,28,Juan,Soto,el sol,0,82,1.25,3.24,265.68,valencia,652
febrero,1469,lunes,18,Juan,Rodriguez,el sol,4,67,1.8,4.88,326.96,valencia,504
marzo,8472,miercoles,4,Andrea,Torres,el sol,2,74,0.83,3.38,250.12,valencia,616
enero,8517,viernes,24,Mia,Soto,el sol,6,91,0.65,4.25,386.75,cucuta,652
febrero,1645,domingo,14,Juan,Garcia,el sol,7,24,0.52,4.78,114.72,san cristobal,504
febrero,7618,martes,24,Pedro,Soto,el sol,7,46,0.52,4.78,219.88,san cristobal,504
marzo,7618,lunes,20,Pedro,Soto,el sol,2,79,0.83,3.38,267.02,valencia,616
febrero,9401,martes,22,Sofía,Soto,el sol,3,48,1.69,4.74,227.52,valencia,504
febrero,1067,jueves,19,Lucas,Garcia,el sol,2,69,0.83,3.38,233.22,caracas,504
febrero,6843,jueves,24,Andrea,Lopez,el sol,0,75,1.25,3.24,243.0,valencia,504
marzo,1244,lunes,10,Valentina,Garcia,el sol,6,19,0.65,4.25,80.75,valencia,616
enero,7522,martes,3,Samantha,Soto,el sol,7,13,0.52,4.78,62.14,san cristobal,652
marzo,4309,jueves,23,Valentina,Torres,el sol,7,84,0.52,4.78,401.52,caracas,616
febrero,6023,miercoles,22,Lucas,Martinez,la luna,5,69,1.23,1.96,135.24,caracas,702
marzo,7118,jueves,24,Pedro,Perez,la luna,3,77,1.69,4.74,364.98,caracas,522
febrero,4712,jueves,3,Pedro,Gonzalez,la luna,4,17,1.8,4.88,82.96,cucuta,702
febrero,8517,sabado,15,Mia,Soto,la luna,4,23,1.8,4.88,112.24,cucuta,702
marzo,4179,miercoles,26,Valentina,Jimenez,la luna,7,79,0.52,4.78,377.62,caracas,522
febrero,2650,miercoles,12,Andrea,Jimenez,la luna,0,85,1.25,3.24,275.4,valencia,702
febrero,3307,miercoles,14,Mia,Gonzalez,la luna,3,57,1.69,4.74,270.18,caracas,702
marzo,7242,viernes,20,Lucas,Jimenez,la luna,3,74,1.69,4.74,350.76,caracas,522
marzo,7751,lunes,13,Mia,Garcia,la luna,6,11,0.65,4.25,46.75,san cristobal,522
enero,9771,jueves,10,Valentina,Martinez,la luna,5,24,1.23,1.96,47.04,cucuta,754
febrero,2962,miercoles,11,Andrea,Garcia,la luna,5,36,1.23,1.96,70.56,valencia,702
enero,5774,miercoles,13,Mia,Rodriguez,la luna,7,71,0.52,4.78,339.38,caracas,754
febrero,7955,miercoles,16,Pedro,Sanchez,la luna,6,33,0.65,4.25,140.25,san cristobal,702
enero,2519,viernes,8,Mia,Perez,la luna,4,69,1.8,4.88,336.72,cucuta,754
febrero,9632,jueves,7,Isabella,Soto,la luna,3,14,1.69,4.74,66.36,san cristobal,702
enero,4712,sabado,23,Pedro,Gonzalez,la luna,6,48,0.65,4.25,204.0,valencia,754
febrero,8023,domingo,13,Valentina,Sanchez,la luna,2,97,0.83,3.38,327.86,caracas,702
enero,8182,jueves,14,Juan,Torres,la luna,5,87,1.23,1.96,170.52,san cristobal,754
enero,4712,jueves,3,Pedro,Gonzalez,la luna,1,24,0.87,4.34,104.16,caracas,754
febrero,1589,martes,20,Andrea,Martinez,la luna,3,81,1.69,4.74,383.94,san cristobal,702
marzo,9401,martes,9,Sofía,Soto,la luna,0,74,1.25,3.24,239.76,valencia,522
febrero,7242,lunes,3,Lucas,Jimenez,la luna,6,62,0.65,4.25,263.5,san cristobal,702
enero,6333,miercoles,27,Isabella,Garcia,la luna,6,9,0.65,4.25,38.25,san cristobal,754
enero,2962,jueves,15,Andrea,Garcia,la luna,6,97,0.65,4.25,412.25,san cristobal,754
marzo,6790,martes,17,Sofía,Jimenez,la luna,7,67,0.52,4.78,320.26,san cristobal,522
marzo,7067,jueves,3,Pedro,Torres,la luna,4,20,1.8,4.88,97.6,san cristobal,522
marzo,7522,miercoles,16,Samantha,Soto,la luna,0,77,1.25,3.24,249.48,caracas,522
marzo,1928,sabado,17,Lucas,Gonzalez,la luna,7,70,0.52,4.78,334.6,san cristobal,522
febrero,1788,jueves,16,Miguel,Torres,la luna,5,17,1.23,1.96,33.32,valencia,702
enero,7805,jueves,11,Valentina,Soto,la luna,6,48,0.65,4.25,204.0,san cristobal,754
marzo,4530,viernes,11,Sofía,Rodriguez,la luna,7,85,0.52,4.78,406.3,caracas,522
marzo,7167,domingo,20,Isabella,Gonzalez,la luna,1,23,0.87,4.34,99.82,san cristobal,522
enero,5368,sabado,9,Miguel,Gonzalez,la luna,1,40,0.87,4.34,173.6,cucuta,754
enero,8247,martes,9,Sofía,Gonzalez,la luna,1,39,0.87,4.34,169.26,cucuta,754
febrero,4235,domingo,4,Mia,Lopez,la luna,3,81,1.69,4.74,383.94,san cristobal,702
marzo,1212,domingo,7,Miguel,Rodriguez,la luna,6,30,0.65,4.25,127.5,caracas,522
febrero,6790,lunes,24,Sofía,Jimenez,la luna,4,29,1.8,4.88,141.52,valencia,702
febrero,8326,sabado,14,Sofía,Garcia,la luna,5,26,1.23,1.96,50.96,san cristobal,702
febrero,2519,viernes,15,Mia,Perez,la luna,5,59,1.23,1.96,115.64,cucuta,702
marzo,8240,miercoles,8,Juan,Gonzalez,la luna,2,31,0.83,3.38,104.78,cucuta,522
enero,9178,jueves,3,Isabella,Lopez,la luna,0,69,1.25,3.24,223.56,cucuta,754
marzo,5815,miercoles,18,Lucas,Soto,la luna,3,43,1.69,4.74,203.82,caracas,522
enero,7819,miercoles,3,Mia,Sanchez,la luna,6,76,0.65,4.25,323.0,san cristobal,754
enero,1067,miercoles,28,Lucas,Garcia,la luna,1,11,0.87,4.34,47.74,cucuta,754
febrero,6025,sabado,9,Samantha,Garcia,la luna,4,93,1.8,4.88,453.84,san cristobal,702
enero,4309,martes,12,Valentina,Torres,la luna,7,100,0.52,4.78,478.0,san cristobal,754
marzo,5774,viernes,28,Mia,Rodriguez,la luna,0,31,1.25,3.24,100.44,caracas,522
enero,6025,miercoles,20,Samantha,Garcia,la luna,3,21,1.69,4.74,99.54,san cristobal,754
marzo,8980,sabado,24,Valentina,Lopez,la luna,1,32,0.87,4.34,138.88,valencia,522
marzo,2962,martes,23,Andrea,Garcia,la luna,1,93,0.87,4.34,403.62,valencia,522
enero,3289,sabado,7,Pedro,Martinez,el cielo,6,88,0.65,4.25,374.0,san cristobal,680
febrero,1212,jueves,25,Miguel,Rodriguez,el cielo,6,28,0.65,4.25,119.0,san cristobal,619
enero,6630,jueves,15,Mia,Martinez,el cielo,2,68,0.83,3.38,229.84,valencia,680
enero,9499,martes,7,Isabella,Rodriguez,el cielo,0,9,1.25,3.24,29.16,caracas,680
enero,1378,domingo,7,Andrea,Rodriguez,el cielo,3,55,1.69,4.74,260.7,caracas,680
febrero,9178,sabado,2,Isabella,Lopez,el cielo,7,7,0.52,4.78,33.46,san cristobal,619
enero,9632,jueves,16,Isabella,Soto,el cielo,7,46,0.52,4.78,219.88,cucuta,680
marzo,4179,sabado,21,Valentina,Jimenez,el cielo,5,26,1.23,1.96,50.96,san cristobal,618
marzo,9632,jueves,28,Isabella,Soto,el cielo,7,92,0.52,4.78,439.76,cucuta,618
marzo,2743,jueves,11,Miguel,Perez,el cielo,0,98,1.25,3.24,317.52,caracas,618
enero,5368,lunes,5,Miguel,Gonzalez,el cielo,3,15,1.69,4.74,71.1,san cristobal,680
marzo,7171,domingo,4,Sofía,Martinez,el cielo,5,19,1.23,1.96,37.24,san cristobal,618
enero,2962,viernes,21,Andrea,Garcia,el cielo,2,11,0.83,3.38,37.18,caracas,680
febrero,1469,domingo,27,Juan,Rodriguez,el cielo,2,21,0.83,3.38,70.98,san cristobal,619
enero,6843,domingo,23,Andrea,Lopez,el cielo,5,49,1.23,1.96,96.04,caracas,680
febrero,9401,jueves,11,Sofía,Soto,el cielo,6,14,0.65,4.25,59.5,san cristobal,619
febrero,7067,lunes,27,Pedro,Torres,el cielo,1,63,0.87,4.34,273.42,cucuta,619
febrero,8240,domingo,15,Juan,Gonzalez,el cielo,4,53,1.8,4.88,258.64,valencia,619
marzo,1645,martes,30,Juan,Garcia,el cielo,2,38,0.83,3.38,128.44,san cristobal,618
febrero,8247,sabado,17,Sofía,Gonzalez,el cielo,5,20,1.23,1.96,39.2,san cristobal,619
marzo,4574,viernes,8,Sofía,Perez,el cielo,7,7,0.52,4.78,33.46,valencia,618
marzo,2519,martes,27,Mia,Perez,el cielo,2,46,0.83,3.38,155.48,san cristobal,618
enero,6333,jueves,5,Isabella,Garcia,el cielo,1,52,0.87,4.34,225.68,caracas,680
marzo,8718,sabado,23,Pedro,Jimenez,el cielo,4,38,1.8,4.88,185.44,caracas,618
